,title,url
0,38cm 높이 & 2m 초대형 사이즈 | 원클릭 자동 펌핑/빠짐 에어베드,https://www.wadiz.kr/web/campaign/detail/155444?acid=10020342&_refer_section_st=REWARD_0
1,[58년 가전명가 한일] 투명하게 다보이는 저소음 <한일 가열식 가습기>,https://www.wadiz.kr/web/campaign/detail/160013?_refer_section_st=REWARD_1
2,국민 키보드 마우스 로지텍 K380&PEBBLE M350 신규 색상 런칭,https://www.wadiz.kr/web/campaign/detail/162778?_refer_section_st=REWARD_2
3,[임상완료]14일만 발라보세요. 답없는 피부를 깐달걀로 바꿔주는 진정크림,https://www.wadiz.kr/web/campaign/detail/150792?acid=10019921&_refer_section_st=REWARD_3
4,<와디즈7억쿠션>91%수분에센스로 겨울에도 극찬피부 완벽커버 #순간쿠션2,https://www.wadiz.kr/web/campaign/detail/162544?_refer_section_st=REWARD_4
5,조선왕의 기상을 일상에 담다 [ 곤룡포 수면가운 ],https://www.wadiz.kr/web/campaign/detail/155122?_refer_section_st=REWARD_5
6,"[만족도4.8%앵콜] 정전기 없고, 냄새 밸 걱정 없는 메리노 울 니트!",https://www.wadiz.kr/web/campaign/detail/163143?acid=10020379&_refer_section_st=REWARD_6
7,[단독] 피지고민 종결자! 분출하는 피지들! 닥터원더 석션워터,https://www.wadiz.kr/web/campaign/detail/152341?_refer_section_st=REWARD_7
8,[3만원대] 발각질제거 끝판왕 등장! 순식간에 애기발로 뿅! 태어나보세요,https://www.wadiz.kr/web/campaign/detail/43553?_refer_section_st=REWARD_8
9,3분만에 완성되는 나만의 로고와 캐릭터디자인 국민로고플랫폼 로고폴리,https://www.wadiz.kr/web/campaign/detail/158865?acid=10020432&_refer_section_st=REWARD_9
10,"[앵콜] 특허만5개, 칙칙해질 기미없는 앰플선! 사르르 녹는 신개념 제형",https://www.wadiz.kr/web/campaign/detail/163118?_refer_section_st=REWARD_10
11,"[누적판매 38만개] 프로틴빵에 배신당한 식단러여, 산소와플에 정착하라!",https://www.wadiz.kr/web/campaign/detail/159876?_refer_section_st=REWARD_11
12,[미국 FDA 동물용 의약외품 등록] 반려동물 피부 전용 센텔라 연고,https://www.wadiz.kr/web/campaign/detail/160639?acid=10020667&_refer_section_st=REWARD_12
13,코골이로 괴로운 당신에게 좋은 밤을 선사하는 꿀잠스프레이,https://www.wadiz.kr/web/campaign/detail/164013?_refer_section_st=REWARD_13
14,"누런 베개, 이제는 그만! 매일 새로운 베개에서 자요! 베개 커버 레이어",https://www.wadiz.kr/web/campaign/detail/143916?_refer_section_st=REWARD_14
15,늘 먹던 견과 맞아요?수제 조청과 오븐으로 구운 달콤빠삭 견과 | 더넛코,https://www.wadiz.kr/web/campaign/detail/161923?_refer_section_st=REWARD_15
16,300부 한정 로피시엘 하드커버 에디션 | 안유진&안효섭 단독화보 수록,https://www.wadiz.kr/web/campaign/detail/158999?_refer_section_st=REWARD_16
17,우산만 거꾸로 접었을 뿐인데 찜찜함 NO!! 3단 자동 거꾸로 LED우산,https://www.wadiz.kr/web/campaign/detail/154096?_refer_section_st=REWARD_17
18,찝찝하고 수습 안되는 떡진 앞머리에 뽀송함을 되돌려줄 [시크릿 아이템!],https://www.wadiz.kr/web/campaign/detail/162128?_refer_section_st=REWARD_18
19,"[균 감소율 99.99%] 디자인,성능 모두 잡은 오브제 프로펠러 샤워기",https://www.wadiz.kr/web/campaign/detail/159305?_refer_section_st=REWARD_19
20,"[4~5만원대] 내 손으로 갈아 더 맛있는 커피, Massimo그라인더",https://www.wadiz.kr/web/campaign/detail/160081?_refer_section_st=REWARD_20
21,좌훈의 혁명 비싼 좌훈기 없이 간편하게 집에서 할수 있는 좌훈제,https://www.wadiz.kr/web/campaign/detail/162914?_refer_section_st=REWARD_21
22,"대익보이차 1인 다도세트, 향기로 가득 채우는 하루",https://www.wadiz.kr/web/campaign/detail/157189?_refer_section_st=REWARD_22
23,[와디즈단독혜택] 한국관광공사가 추천하는 은평한옥마을 프라이빗 한옥스테이,https://www.wadiz.kr/web/campaign/detail/159162?_refer_section_st=REWARD_23
24,[한달 5천원대] 치과가기 무서워? 무료로 칫솔 치약 추천해드려요!,https://www.wadiz.kr/web/campaign/detail/159960?_refer_section_st=REWARD_24
25,[인생앞치마]매일매일 당신을 예쁘게 만들어 줄 바로 그 앞치마,https://www.wadiz.kr/web/campaign/detail/162806?_refer_section_st=REWARD_25
26,원을 그리는 식물 무드등. 물 부족하면 깜빡이는 윙크트리,https://www.wadiz.kr/web/campaign/detail/150827?_refer_section_st=REWARD_26
27,약사가 직접 연구개발한 글루타치온콜라겐! 콤부차까지 하루 675원에 끝!,https://www.wadiz.kr/web/campaign/detail/156182?_refer_section_st=REWARD_27
28,[50분 한정] 와디즈 콘텐츠 디렉터가 상세페이지 피드백 해드립니다,https://www.wadiz.kr/web/campaign/detail/161089?_refer_section_st=REWARD_28
29,[트랜스포머 선반] 공간에 맞는 변형이 자유로운 모듈 감성 선반,https://www.wadiz.kr/web/campaign/detail/158017?_refer_section_st=REWARD_29
30,"라운딩, 이제 한벌이면 충분해요. 뒤집기만 하면 일상에서 필드로!",https://www.wadiz.kr/web/campaign/detail/159891?_refer_section_st=REWARD_30
31,[100개 한정] 캐터필라 다이버 시계로 일상에서 200미터 물속까지!,https://www.wadiz.kr/web/campaign/detail/158428?_refer_section_st=REWARD_31
32,10시간 숙면을 위한 선택ㅣ강력한 보온성과 가벼움으로 포근한 숙면하세요,https://www.wadiz.kr/web/campaign/detail/155334?_refer_section_st=REWARD_32
33,"후숙 후 배송ㅣ새콤~달콤 쫀득! 마지막 푸룬 품종, 고당도 프레지던트푸룬",https://www.wadiz.kr/web/campaign/detail/164759?_refer_section_st=REWARD_33
34,카시트와 이동가방을 동시에 ! [2중 안전 고리로 반려와 더 안전하게],https://www.wadiz.kr/web/campaign/detail/161471?_refer_section_st=REWARD_34
35,여행필수템~ 내 목에 맞게 조절해서 사용하는 슬리피롤,https://www.wadiz.kr/web/campaign/detail/133087?_refer_section_st=REWARD_35
36,계란과 설탕만 있으면 끝! 크리스마스 머랭쿠키 DIY 올인원 패키지,https://www.wadiz.kr/web/campaign/detail/161802?_refer_section_st=REWARD_36
37,"전통이 멀게만 느껴지는 당신을 위해, 일상 속에 전통을 <채움>",https://www.wadiz.kr/web/campaign/detail/158647?_refer_section_st=REWARD_37
38,고양이에게 진짜 행복을! 오드냥 캣닢 마따따비,https://www.wadiz.kr/web/campaign/detail/162241?_refer_section_st=REWARD_38
39,"시계야~ 내 감정을 바꿔줘! [신박한 감정 시계, 피카 무페라클]",https://www.wadiz.kr/web/campaign/detail/159794?_refer_section_st=REWARD_39
40,쥬얼리 과학자들이 만든 원석 호환 가능한 목걸이,https://www.wadiz.kr/web/campaign/detail/164448?_refer_section_st=REWARD_40
41,아이들은 놀다지칠때까지! 부모님은 한보따리 수다! 키즈런 그랜드바자ESG,https://www.wadiz.kr/web/campaign/detail/164778?_refer_section_st=REWARD_41
42,[3D 엠보싱 에코백] 색다른 힐링보석의 입체감을 느껴보세요!,https://www.wadiz.kr/web/campaign/detail/163351?_refer_section_st=REWARD_42
43,마지막까지 아름답게 감싸주는 반려동물 장례용품 싸개,https://www.wadiz.kr/web/campaign/detail/158857?_refer_section_st=REWARD_43
44,집에서 만드는 나만의 DIY수제맥주! 쿠퍼스 미스터비어 크래프트 키트,https://www.wadiz.kr/web/campaign/detail/130391?_refer_section_st=REWARD_44
45,[한국소아암재단] 소아암 환아들에게 희망의 날개를 달아주세요,https://www.wadiz.kr/web/campaign/detail/163349?_refer_section_st=REWARD_45
46,엄마가 그 엄마와 함께하는 호텔캠핑,https://www.wadiz.kr/web/campaign/detail/159649?_refer_section_st=REWARD_46
47,증권사 출신이 알려주는 재테크 초보를 위한 금융투자 해설,https://www.wadiz.kr/web/campaign/detail/164110?_refer_section_st=REWARD_47
48,"0.1mm 섬세한 단위로 손목을 부드럽게, 천연 통원목 마우스 팜레스트",https://www.wadiz.kr/web/campaign/detail/164477?_refer_section_st=REWARD_48
49,"[1위 6억]마지막앵콜 클렌저끝판왕 떡솝, 피부가 좋아지는 인생클렌저",https://www.wadiz.kr/web/campaign/detail/162580?_refer_section_st=REWARD_49
50,마스카라 아니에요. 속눈썹 영양제에요. 영양공급과 메이크업 효과까지!,https://www.wadiz.kr/web/campaign/detail/160326?_refer_section_st=REWARD_50
51,7가지 유해성분 없는 올스텐 통가열 가습기 몬톤 [무환경호르몬 무연마제],https://www.wadiz.kr/web/campaign/detail/162670?_refer_section_st=REWARD_51
52,[미.친. 블루오션 부업] 글로벌 자동화 유튜브로 대기업 연봉 격파!,https://www.wadiz.kr/web/campaign/detail/161925?_refer_section_st=REWARD_52
